00010a	1	16756	CIS TECHNOLOGY INC.
00010b	1	16756	Space CyberLink, Inc.
00010c	1	16756	System Talks Inc.
00010d	1	16996	Teledyne DALSA Inc.
00010e	1	16756	Bri-Link Technologies Co., Ltd
00010f	1	18317	Brocade Communications Systems LLC
000110	1	16756	Gotham Networks
000111	1	16756	iDigm Inc.
000112	1	16756	Shark Multimedia Inc.
000113	1	16756	OLYMPUS CORPORATION
000114	1	16756	KANDA TSUSHIN KOGYO CO., LTD.
000115	1	16756	EXTRATECH CORPORATION
000116	1	16756	Netspect Technologies, Inc.
000117	1	18079	Canal +
000118	1	16756	EZ Digital Co., Ltd.
000119	1	16756	RTUnet (Australia)
00011a	1	16756	Hoffmann und Burmeister GbR
00011b	1	16756	Unizone Technologies, Inc.
00011c	1	16756	Universal Talkware Corporation
00011d	1	16756	Centillium Communications
00011e	1	16756	Precidia Technologies, Inc.
00011f	1	16756	RC Networks, Inc.
000120	1	16756	OSCILLOQUARTZ S.A.
000121	1	17695	WatchGuard Technologies, Inc.
000122	1	16756	Trend Communications, Ltd.
000123	1	17431	Schneider Electric Japan Holdings Ltd.
000124	1	16756	Acer Incorporated
000125	1	16756	YAESU MUSEN CO., LTD.
000126	1	16756	PAC Labs
000127	1	16756	OPEN Networks Pty Ltd
000128	1	16756	EnjoyWeb, Inc.
000129	1	16756	DFI Inc.
00012a	1	16756	Telematica Sistems Inteligente
00012b	1	11619	TELENET Co., Ltd.
00012c	1	16756	Aravox Technologies, Inc.
00012d	1	16756	Komodo Technology
00012e	1	16756	PC Partner Ltd.
00012f	1	16756	Twinhead International Corp
000130	1	20630	Extreme Networks, Inc.
000131	1	16756	Bosch Security Systems, Inc.
000132	1	16756	Dranetz - BMI
000133	1	16756	KYOWA Electronic Instruments C
000134	1	16756	Selectron Systems AG
000135	1	16756	KDC Corp.
000136	1	18079	CyberTAN Technology Inc.
000137	1	16756	IT Farm Corporation
000138	1	16756	XAVi Technologies Corp.
000139	1	16756	Point Multimedia Systems
00013a	1	16756	SHELCAD COMMUNICATIONS, LTD.
00013b	1	16756	BNA SYSTEMS
00013c	1	16756	TIW SYSTEMS
00013d	1	16756	RiscStation Ltd.
00013e	1	16756	Ascom Tateco AB
00013f	1	16756	Neighbor World Co., Ltd.
000140	1	16756	Sendtek Corporation
000141	1	16756	CABLE PRINT
000142	1	16756	Cisco Systems, Inc
000143	1	16756	Cisco Systems, Inc
000144	1	17373	Dell EMC
000145	1	16756	WINSYSTEMS, INC.
000146	1	16756	Tesco Controls, Inc.
000147	1	20298	Zhone Technologies, Inc.
000148	1	16756	X-traWeb Inc.
000149	1	18079	TDT AG
00014a	1	16756	Sony Corporation
00014b	1	16756	Ennovate Networks, Inc.
00014c	1	16756	Berkeley Process Control
00014d	1	16756	Shin Kin Enterprises Co., Ltd
00014e	1	16756	WIN Enterprises, Inc.
00014f	1	17086	Adtran Inc
000150	1	16756	GILAT COMMUNICATIONS, LTD.
000151	1	16756	Ensemble Communications
000152	1	16756	CHROMATEK INC.
000153	1	16756	ARCHTEK TELECOM CORPORATION
000154	1	16756	G3M Corporation
000155	1	16756	Promise Technology, Inc.
000156	1	16756	FIREWIREDIRECT.COM, INC.
000157	1	16756	SYSWAVE CO., LTD
000158	1	16756	Electro Industries/Gauge Tech
000159	1	16756	S1 Corporation
00015a	1	16756	Digital Video Broadcasting
00015b	1	16756	ITALTEL S.p.A/RF-UP-I
00015c	1	16756	CADANT INC.
00015d	1	16841	Oracle Corporation
00015e	1	16756	BEST TECHNOLOGY CO., LTD.
00015f	1	16756	DIGITAL DESIGN GmbH
000160	1	16756	ELMEX Co., LTD.
000161	1	16756	Meta Machine Technology
000162	1	16756	Cygnet Technologies, Inc.
000163	1	16756	Cisco Systems, Inc
000164	1	16756	Cisco Systems, Inc
000165	1	16756	AirSwitch Corporation
000166	1	16756	TC GROUP A/S
000167	1	16756	HIOKI E.E. CORPORATION
000168	1	16756	VITANA CORPORATION
000169	1	16756	Celestix Networks Pte Ltd.
00016a	1	16756	ALITEC
00016b	1	16756	LightChip, Inc.
